Category,Motivation,clean
medicine,"""for his discovery of vitamin K""",for his discovery of vitamin k
medicine,"""for his discovery of the chemical nature of vitamin K""",for his discovery of the chemical nature of vitamin k
chemistry,"""for his work on the use of isotopes as tracers in the study of chemical processes""",for his work on the use of isotopes as tracers in the study of chemical processes
physics,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""",for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton
medicine,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",for their discoveries relating to the highly differentiated functions of single nerve fibres
literature,"""for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold freshly creative style""",for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold freshly creative style
medicine,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",for their discoveries relating to the highly differentiated functions of single nerve fibres
chemistry,"""for his discovery of the fission of heavy nuclei""",for his discovery of the fission of heavy nuclei
peace,"""for the efforts to take care of wounded soldiers and prisoners of war and their families""",for the efforts to take care of wounded soldiers and prisoners of war and their families
peace,"""for the great work it has performed during the war on behalf of humanity""",for the great work it has performed during the war on behalf of humanity
peace,"""for promoting the principles of the Geneva Convention and cooperation with the UN""",for promoting the principles of the geneva convention and cooperation with the un
physics,"""for his resonance method for recording the magnetic properties of atomic nuclei""",for his resonance method for recording the magnetic properties of atomic nuclei
physics,"""for the discovery of the Exclusion Principle also called the Pauli Principle""",for the discovery of the exclusion principle also called the pauli principle
literature,"""for her lyric poetry which inspired by powerful emotions has made her name a symbol of the idealistic aspirations of the entire Latin American world""",for her lyric poetry which inspired by powerful emotions has made her name a symbol of the idealistic aspirations of the entire latin american world
chemistry,"""for his research and inventions in agricultural and nutrition chemistry especially for his fodder preservation method""",for his research and inventions in agricultural and nutrition chemistry especially for his fodder preservation method
peace,"""for his indefatigable work for international understanding and his pivotal role in establishing the United Nations""",for his indefatigable work for international understanding and his pivotal role in establishing the united nations
medicine,"""for the discovery of penicillin and its curative effect in various infectious diseases""",for the discovery of penicillin and its curative effect in various infectious diseases
medicine,"""for the discovery of penicillin and its curative effect in various infectious diseases""",for the discovery of penicillin and its curative effect in various infectious diseases
medicine,"""for the discovery of penicillin and its curative effect in various infectious diseases""",for the discovery of penicillin and its curative effect in various infectious diseases
peace,"""for his contribution to the creation of a peace-promoting religious brotherhood across national boundaries""",for his contribution to the creation of a peacepromoting religious brotherhood across national boundaries
physics,"""for the invention of an apparatus to produce extremely high pressures and for the discoveries he made therewith in the field of high pressure physics""",for the invention of an apparatus to produce extremely high pressures and for the discoveries he made therewith in the field of high pressure physics
chemistry,"""for his discovery that enzymes can be crystallized""",for his discovery that enzymes can be crystallized
chemistry,"""for their preparation of enzymes and virus proteins in a pure form""",for their preparation of enzymes and virus proteins in a pure form
chemistry,"""for their preparation of enzymes and virus proteins in a pure form""",for their preparation of enzymes and virus proteins in a pure form
medicine,"""for the discovery of the production of mutations by means of X-ray irradiation""",for the discovery of the production of mutations by means of xray irradiation
peace,"""for her lifelong work for the cause of peace""",for her lifelong work for the cause of peace
literature,"""for his inspired writings which while growing in boldness and penetration exemplify the classical humanitarian ideals and high qualities of style""",for his inspired writings which while growing in boldness and penetration exemplify the classical humanitarian ideals and high qualities of style
medicine,"""for their discovery of the course of the catalytic conversion of glycogen""",for their discovery of the course of the catalytic conversion of glycogen
medicine,"""for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar""",for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar
physics,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer""",for his investigations of the physics of the upper atmosphere especially for the discovery of the socalled appleton layer
literature,"""for his comprehensive and artistically significant writings in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight""",for his comprehensive and artistically significant writings in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight
chemistry,"""for his investigations on plant products of biological importance especially the alkaloids""",for his investigations on plant products of biological importance especially the alkaloids
peace,"""for their pioneering work in the international peace movement and compassionate effort to relieve human suffering thereby promoting the fraternity between nations""",for their pioneering work in the international peace movement and compassionate effort to relieve human suffering thereby promoting the fraternity between nations
peace,"""for their pioneering work in the international peace movement and compassionate effort to relieve human suffering thereby promoting the fraternity between nations""",for their pioneering work in the international peace movement and compassionate effort to relieve human suffering thereby promoting the fraternity between nations
medicine,"""for their discovery of the course of the catalytic conversion of glycogen""",for their discovery of the course of the catalytic conversion of glycogen
medicine,"""for his discovery of the high efficiency of DDT as a contact poison against several arthropods""",for his discovery of the high efficiency of ddt as a contact poison against several arthropods
literature,"""for his outstanding pioneer contribution to present-day poetry""",for his outstanding pioneer contribution to presentday poetry
chemistry,"""for his research on electrophoresis and adsorption analysis especially for his discoveries concerning the complex nature of the serum proteins""",for his research on electrophoresis and adsorption analysis especially for his discoveries concerning the complex nature of the serum proteins
physics,"""for his development of the Wilson cloud chamber method and his discoveries therewith in the fields of nuclear physics and cosmic radiation""",for his development of the wilson cloud chamber method and his discoveries therewith in the fields of nuclear physics and cosmic radiation
medicine,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",for his discovery of the therapeutic value of leucotomy in certain psychoses
chemistry,"""for his contributions in the field of chemical thermodynamics particularly concerning the behaviour of substances at extremely low temperatures""",for his contributions in the field of chemical thermodynamics particularly concerning the behaviour of substances at extremely low temperatures
medicine,"""for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs""",for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs
literature,"""for his powerful and artistically unique contribution to the modern American novel""",for his powerful and artistically unique contribution to the modern american novel
peace,"""for his lifelong effort to conquer hunger and want thereby helping to remove a major cause of military conflict and war""",for his lifelong effort to conquer hunger and want thereby helping to remove a major cause of military conflict and war
physics,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces
literature,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought""",in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought
peace,"""for his work as mediator in Palestine in 1948-1949""",for his work as mediator in palestine in 19481949
medicine,"""for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects""",for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects
medicine,"""for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects""",for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects
medicine,"""for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects""",for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects
chemistry,"""for their discovery and development of the diene synthesis""",for their discovery and development of the diene synthesis
physics,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method
chemistry,"""for their discovery and development of the diene synthesis""",for their discovery and development of the diene synthesis
peace,"""for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations""",for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations
literature,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""",for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind
physics,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles
physics,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles
chemistry,"""for their discoveries in the chemistry of the transuranium elements""",for their discoveries in the chemistry of the transuranium elements
medicine,"""for his discoveries concerning yellow fever and how to combat it""",for his discoveries concerning yellow fever and how to combat it
chemistry,"""for their discoveries in the chemistry of the transuranium elements""",for their discoveries in the chemistry of the transuranium elements
physics,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith
chemistry,"""for their invention of partition chromatography""",for their invention of partition chromatography
peace,"""for his altruism reverence for life and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one""",for his altruism reverence for life and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one
medicine,"""for his discovery of streptomycin the first antibiotic effective against tuberculosis""",for his discovery of streptomycin the first antibiotic effective against tuberculosis
chemistry,"""for their invention of partition chromatography""",for their invention of partition chromatography
physics,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith
literature,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""",for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life
peace,"""for proposing and supervising the plan for the economic recovery of Europe""",for proposing and supervising the plan for the economic recovery of europe
medicine,"""for his discovery of the citric acid cycle""",for his discovery of the citric acid cycle
medicine,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",for his discovery of coenzyme a and its importance for intermediary metabolism
physics,"""for his demonstration of the phase contrast method especially for his invention of the phase contrast microscope""",for his demonstration of the phase contrast method especially for his invention of the phase contrast microscope
chemistry,"""for his discoveries in the field of macromolecular chemistry""",for his discoveries in the field of macromolecular chemistry
literature,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values
medicine,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue
medicine,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue
medicine,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue
chemistry,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances
peace,"""for his fight against the nuclear arms race between East and West""",for his fight against the nuclear arms race between east and west
physics,"""for his fundamental research in quantum mechanics especially for his statistical interpretation of the wavefunction""",for his fundamental research in quantum mechanics especially for his statistical interpretation of the wavefunction
physics,"""for the coincidence method and his discoveries made therewith""",for the coincidence method and his discoveries made therewith
literature,"""for his mastery of the art of narrative most recently demonstrated in <I>The Old Man and the Sea</I> and for the influence that he has exerted on contemporary style""",for his mastery of the art of narrative most recently demonstrated in ithe old man and the seai and for the influence that he has exerted on contemporary style
peace,"""for its efforts to heal the wounds of war by providing help and protection to refugees all over the world""",for its efforts to heal the wounds of war by providing help and protection to refugees all over the world
peace,"""for promoting the fundamental rights of refugees""",for promoting the fundamental rights of refugees
literature,"""for his vivid epic power which has renewed the great narrative art of Iceland""",for his vivid epic power which has renewed the great narrative art of iceland
physics,"""for his precision determination of the magnetic moment of the electron""",for his precision determination of the magnetic moment of the electron
physics,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",for his discoveries concerning the fine structure of the hydrogen spectrum
medicine,"""for his discoveries concerning the nature and mode of action of oxidation enzymes""",for his discoveries concerning the nature and mode of action of oxidation enzymes
chemistry,"""for his work on biochemically important sulphur compounds especially for the first synthesis of a polypeptide hormone""",for his work on biochemically important sulphur compounds especially for the first synthesis of a polypeptide hormone
medicine,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",for their discoveries concerning heart catheterization and pathological changes in the circulatory system
medicine,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",for their discoveries concerning heart catheterization and pathological changes in the circulatory system
physics,"""for their researches on semiconductors and their discovery of the transistor effect""",for their researches on semiconductors and their discovery of the transistor effect
chemistry,"""for their researches into the mechanism of chemical reactions""",for their researches into the mechanism of chemical reactions
chemistry,"""for their researches into the mechanism of chemical reactions""",for their researches into the mechanism of chemical reactions
physics,"""for their researches on semiconductors and their discovery of the transistor effect""",for their researches on semiconductors and their discovery of the transistor effect
physics,"""for their jointly developed theory of superconductivity usually called the BCS-theory""",for their jointly developed theory of superconductivity usually called the bcstheory
physics,"""for their researches on semiconductors and their discovery of the transistor effect""",for their researches on semiconductors and their discovery of the transistor effect
medicine,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",for their discoveries concerning heart catheterization and pathological changes in the circulatory system
literature,"""for his lyrical poetry which in Spanish language constitutes an example of high spirit and artistical purity""",for his lyrical poetry which in spanish language constitutes an example of high spirit and artistical purity
physics,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",for their penetrating investigation of the socalled parity laws which has led to important discoveries regarding the elementary particles
peace,"""for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis""",for his crucial contribution to the deployment of a united nations emergency force in the wake of the suez crisis
chemistry,"""for his work on nucleotides and nucleotide co-enzymes""",for his work on nucleotides and nucleotide coenzymes
physics,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",for their penetrating investigation of the socalled parity laws which has led to important discoveries regarding the elementary particles
literature,"""for his important literary production which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",for his important literary production which with clearsighted earnestness illuminates the problems of the human conscience in our times
medicine,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances and especially their action on the vascular system and the skeletal muscles""",for his discoveries relating to synthetic compounds that inhibit the action of certain body substances and especially their action on the vascular system and the skeletal muscles
chemistry,"""for his work on the structure of proteins especially that of insulin""",for his work on the structure of proteins especially that of insulin
chemistry,"""for their contributions concerning the determination of base sequences in nucleic acids""",for their contributions concerning the determination of base sequences in nucleic acids
peace,"""for his efforts to help refugees to leave their camps and return to a life of freedom and dignity""",for his efforts to help refugees to leave their camps and return to a life of freedom and dignity
medicine,"""for their discovery that genes act by regulating definite chemical events""",for their discovery that genes act by regulating definite chemical events
medicine,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""",for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria
literature,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""",for his important achievement both in contemporary lyrical poetry and in the field of the great russian epic tradition
physics,"""for the discovery and the interpretation of the Cherenkov effect""",for the discovery and the interpretation of the cherenkov effect
physics,"""for the discovery and the interpretation of the Cherenkov effect""",for the discovery and the interpretation of the cherenkov effect
physics,"""for the discovery and the interpretation of the Cherenkov effect""",for the discovery and the interpretation of the cherenkov effect
medicine,"""for their discovery that genes act by regulating definite chemical events""",for their discovery that genes act by regulating definite chemical events
medicine,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid
chemistry,"""for his discovery and development of the polarographic methods of analysis""",for his discovery and development of the polarographic methods of analysis
physics,"""for their discovery of the antiproton""",for their discovery of the antiproton
physics,"""for their discovery of the antiproton""",for their discovery of the antiproton
medicine,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid
peace,"""for his longstanding contribution to the cause of disarmament and peace""",for his longstanding contribution to the cause of disarmament and peace
literature,"""for his lyrical poetry which with classical fire expresses the tragic experience of life in our own times""",for his lyrical poetry which with classical fire expresses the tragic experience of life in our own times
medicine,"""for discovery of acquired immunological tolerance""",for discovery of acquired immunological tolerance
physics,"""for the invention of the bubble chamber""",for the invention of the bubble chamber
medicine,"""for discovery of acquired immunological tolerance""",for discovery of acquired immunological tolerance
literature,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time""",for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time
peace,"""for his non-violent struggle against apartheid""",for his nonviolent struggle against apartheid
chemistry,"""for his method to use carbon-14 for age determination in archaeology geology geophysics and other branches of science""",for his method to use carbon14 for age determination in archaeology geology geophysics and other branches of science
physics,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name
peace,"""for developing the UN into an effective and constructive international organization capable of giving life to the principles and aims expressed in the UN Charter""",for developing the un into an effective and constructive international organization capable of giving life to the principles and aims expressed in the un charter
medicine,"""for his discoveries of the physical mechanism of stimulation within the cochlea""",for his discoveries of the physical mechanism of stimulation within the cochlea
literature,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""",for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country
chemistry,"""for his research on the carbon dioxide assimilation in plants""",for his research on the carbon dioxide assimilation in plants
physics,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons
medicine,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material
medicine,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material
medicine,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material
chemistry,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances
peace,"""for his fight against the nuclear arms race between East and West""",for his fight against the nuclear arms race between east and west
chemistry,"""for their studies of the structures of globular proteins""",for their studies of the structures of globular proteins
chemistry,"""for their studies of the structures of globular proteins""",for their studies of the structures of globular proteins
physics,"""for his pioneering theories for condensed matter especially liquid helium""",for his pioneering theories for condensed matter especially liquid helium
literature,"""for his realistic and imaginative writings combining as they do sympathetic humour and keen social perception""",for his realistic and imaginative writings combining as they do sympathetic humour and keen social perception
medicine,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane
medicine,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane
medicine,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane
physics,"""for their discoveries concerning nuclear shell structure""",for their discoveries concerning nuclear shell structure
physics,"""for his contributions to the theory of the atomic nucleus and the elementary particles particularly through the discovery and application of fundamental symmetry principles""",for his contributions to the theory of the atomic nucleus and the elementary particles particularly through the discovery and application of fundamental symmetry principles
peace,"""for the efforts to take care of wounded soldiers and prisoners of war and their families""",for the efforts to take care of wounded soldiers and prisoners of war and their families
peace,"""for the great work it has performed during the war on behalf of humanity""",for the great work it has performed during the war on behalf of humanity
peace,"""for promoting the principles of the Geneva Convention and cooperation with the UN""",for promoting the principles of the geneva convention and cooperation with the un
peace,"""for promoting the principles of the Geneva Convention and cooperation with the UN""",for promoting the principles of the geneva convention and cooperation with the un
literature,"""for his eminent lyrical writing inspired by a deep feeling for the Hellenic world of culture""",for his eminent lyrical writing inspired by a deep feeling for the hellenic world of culture
physics,"""for their discoveries concerning nuclear shell structure""",for their discoveries concerning nuclear shell structure
chemistry,"""for their discoveries in the field of the chemistry and technology of high polymers""",for their discoveries in the field of the chemistry and technology of high polymers
chemistry,"""for their discoveries in the field of the chemistry and technology of high polymers""",for their discoveries in the field of the chemistry and technology of high polymers
physics,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maserlaser principle
literature,"""for his work which rich in ideas and filled with the spirit of freedom and the quest for truth has exerted a far-reaching influence on our age""",for his work which rich in ideas and filled with the spirit of freedom and the quest for truth has exerted a farreaching influence on our age
peace,"""for his non-violent struggle for civil rights for the Afro-American population""",for his nonviolent struggle for civil rights for the afroamerican population
physics,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maserlaser principle
medicine,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism
physics,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maserlaser principle
medicine,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism
chemistry,"""for her determinations by X-ray techniques of the structures of important biochemical substances""",for her determinations by xray techniques of the structures of important biochemical substances
chemistry,"""for his outstanding achievements in the art of organic synthesis""",for his outstanding achievements in the art of organic synthesis
medicine,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",for their discoveries concerning genetic control of enzyme and virus synthesis
medicine,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",for their discoveries concerning genetic control of enzyme and virus synthesis
medicine,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",for their discoveries concerning genetic control of enzyme and virus synthesis
peace,"""for its effort to enhance solidarity between nations and reduce the difference between rich and poor states""",for its effort to enhance solidarity between nations and reduce the difference between rich and poor states
physics,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""",for their fundamental work in quantum electrodynamics with deepploughing consequences for the physics of elementary particles
literature,"""for the artistic power and integrity with which in his epic of the Don he has given expression to a historic phase in the life of the Russian people""",for the artistic power and integrity with which in his epic of the don he has given expression to a historic phase in the life of the russian people
physics,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""",for their fundamental work in quantum electrodynamics with deepploughing consequences for the physics of elementary particles
physics,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""",for their fundamental work in quantum electrodynamics with deepploughing consequences for the physics of elementary particles
medicine,"""for his discoveries concerning hormonal treatment of prostatic cancer""",for his discoveries concerning hormonal treatment of prostatic cancer
literature,"""for his profoundly characteristic narrative art with motifs from the life of the Jewish people""",for his profoundly characteristic narrative art with motifs from the life of the jewish people
chemistry,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method""",for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method
medicine,"""for his discovery of tumour-inducing viruses""",for his discovery of tumourinducing viruses
literature,"""for her outstanding lyrical and dramatic writing which interprets Israel's destiny with touching strength""",for her outstanding lyrical and dramatic writing which interprets israels destiny with touching strength
physics,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms""",for the discovery and development of optical methods for studying hertzian resonances in atoms
medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",for their discoveries concerning the primary physiological and chemical visual processes in the eye
medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",for their discoveries concerning the primary physiological and chemical visual processes in the eye
chemistry,"""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy""",for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy
literature,"""for his vivid literary achievement deep-rooted in the national traits and traditions of Indian peoples of Latin America""",for his vivid literary achievement deeprooted in the national traits and traditions of indian peoples of latin america
chemistry,"""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy""",for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy
chemistry,"""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy""",for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy
medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",for their discoveries concerning the primary physiological and chemical visual processes in the eye
physics,"""for his contributions to the theory of nuclear reactions especially his discoveries concerning the energy production in stars""",for his contributions to the theory of nuclear reactions especially his discoveries concerning the energy production in stars
medicine,"""for their interpretation of the genetic code and its function in protein synthesis""",for their interpretation of the genetic code and its function in protein synthesis
medicine,"""for their interpretation of the genetic code and its function in protein synthesis""",for their interpretation of the genetic code and its function in protein synthesis
chemistry,"""for the discovery of the reciprocal relations bearing his name which are fundamental for the thermodynamics of irreversible processes""",for the discovery of the reciprocal relations bearing his name which are fundamental for the thermodynamics of irreversible processes
peace,"""for his struggle to ensure the rights of man as stipulated in the UN Declaration""",for his struggle to ensure the rights of man as stipulated in the un declaration
medicine,"""for their interpretation of the genetic code and its function in protein synthesis""",for their interpretation of the genetic code and its function in protein synthesis
physics,"""for his decisive contributions to elementary particle physics in particular the discovery of a large number of resonance states made possible through his development of the technique of using hydrogen bubble chamber and data analysis""",for his decisive contributions to elementary particle physics in particular the discovery of a large number of resonance states made possible through his development of the technique of using hydrogen bubble chamber and data analysis
literature,"""for his narrative mastery which with great sensibility expresses the essence of the Japanese mind""",for his narrative mastery which with great sensibility expresses the essence of the japanese mind
chemistry,"""for their contributions to the development of the concept of conformation and its application in chemistry""",for their contributions to the development of the concept of conformation and its application in chemistry
literature,"""for his writing which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation""",for his writing which in new forms for the novel and drama in the destitution of modern man acquires its elevation
economics,"""for having developed and applied dynamic models for the analysis of economic processes""",for having developed and applied dynamic models for the analysis of economic processes
physics,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions""",for his contributions and discoveries concerning the classification of elementary particles and their interactions
economics,"""for having developed and applied dynamic models for the analysis of economic processes""",for having developed and applied dynamic models for the analysis of economic processes
peace,"""for creating international legislation insuring certain norms for working conditions in every country""",for creating international legislation insuring certain norms for working conditions in every country
medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",for their discoveries concerning the replication mechanism and the genetic structure of viruses
medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",for their discoveries concerning the replication mechanism and the genetic structure of viruses
medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",for their discoveries concerning the replication mechanism and the genetic structure of viruses
chemistry,"""for their contributions to the development of the concept of conformation and its application in chemistry""",for their contributions to the development of the concept of conformation and its application in chemistry
physics,"""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics""",for fundamental work and discoveries in magnetohydrodynamics with fruitful applications in different parts of plasma physics
physics,"""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics""",for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics
peace,"""for having given a well-founded hope - the green revolution""",for having given a wellfounded hope the green revolution
chemistry,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates""",for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates
literature,"""for the ethical force with which he has pursued the indispensable traditions of Russian literature""",for the ethical force with which he has pursued the indispensable traditions of russian literature
economics,"""for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science""",for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science
medicine,"""for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation""",for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation
